args.agent_parallelism:False
without_agent start with agent
model:/home/xiaoxiang/data/Llama-3.1-8B
0 vllm/config.py scheduler_config.py __init__ max_num_batched_tokens: None
3 vllm/config.py scheduler_config.py __init__ max_num_batched_tokens: 1536
INFO 10-28 15:42:49 config.py:1061] Chunked prefill is enabled with max_num_batched_tokens=1536.
INFO 10-28 15:42:49 llm_engine.py:238] Initializing an LLM engine (v0.6.3.post2.dev36+g855e0e6f) with config: model='/home/xiaoxiang/data/Llama-3.1-8B', speculative_config=None, tokenizer='/home/xiaoxiang/data/Llama-3.1-8B', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, rope_scaling=None, rope_theta=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=131072, download_dir=None, load_format=LoadFormat.AUTO, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=False, kv_cache_dtype=auto, quantization_param_path=None, device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='outlines'), observability_config=ObservabilityConfig(otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=0, served_model_name=/home/xiaoxiang/data/Llama-3.1-8B, num_scheduler_steps=1, chunked_prefill_enabled=True multi_step_stream_outputs=True, enable_prefix_caching=True, use_async_output_proc=True, use_cached_outputs=False, mm_processor_kwargs=None)
INFO 10-28 15:42:51 model_runner.py:1055] Starting to load model /home/xiaoxiang/data/Llama-3.1-8B...
Loading safetensors checkpoint shards:   0% Completed | 0/4 [00:00<?, ?it/s]
Loading safetensors checkpoint shards:  25% Completed | 1/4 [00:01<00:04,  1.53s/it]
Loading safetensors checkpoint shards:  50% Completed | 2/4 [00:03<00:03,  1.60s/it]
Loading safetensors checkpoint shards:  75% Completed | 3/4 [00:04<00:01,  1.64s/it]
Loading safetensors checkpoint shards: 100% Completed | 4/4 [00:05<00:00,  1.20s/it]
Loading safetensors checkpoint shards: 100% Completed | 4/4 [00:05<00:00,  1.35s/it]

INFO 10-28 15:42:57 model_runner.py:1066] Loading model weights took 14.9888 GB
INFO 10-28 15:42:58 worker.py:260] Memory profiling results: total_gpu_memory=79.15GiB initial_memory_usage=15.50GiB peak_torch_memory=16.17GiB memory_usage_post_profile=15.53Gib non_torch_memory=0.54GiB kv_cache_size=54.53GiB gpu_memory_utilization=0.90
INFO 10-28 15:42:58 gpu_executor.py:122] # GPU blocks: 27917, # CPU blocks: 2048
INFO 10-28 15:42:58 gpu_executor.py:126] Maximum concurrency for 131072 tokens per request: 3.41x
INFO 10-28 15:43:00 model_runner.py:1394] Capturing the model for CUDA graphs. This may lead to unexpected consequences if the model is not static. To run the model in eager mode, set 'enforce_eager=True' or use '--enforce-eager' in the CLI.
INFO 10-28 15:43:00 model_runner.py:1398] CUDA graphs can take additional 1~3 GiB memory per GPU. If you are running out of memory, consider decreasing `gpu_memory_utilization` or enforcing eager mode. You can also reduce the `max_num_seqs` as needed to decrease memory usage.
INFO 10-28 15:43:13 model_runner.py:1522] Graph capturing finished in 13 secs.
/home/xiaoxiang/vllm/agent/agent.py:630: DeprecationWarning: The keyword arguments {'inputs'} are deprecated and will be removed in a future update. Please use the 'prompt' parameter instead.
  warm_up(engine)
/home/xiaoxiang/vllm/agent/agent.py:776: DeprecationWarning: The keyword arguments {'inputs'} are deprecated and will be removed in a future update. Please use the 'prompt' parameter instead.
  without_agent( args, prompts)
len(prompt):118
start warm up
finish warm up
without_agent max_token:256 
1 without agent len(reqs):2
0 rid:1 and rid1:1i0 and rid2:1i1
need_r1_react_num:1 and need_r2_react_num:0
0 rid:0 and rid1:0i0 and rid2:0i1
need_r1_react_num:1 and need_r2_react_num:0
one step time:0.10296010971069336
one step time:0.05193328857421875
0 rid:1i1 and rid1:1i0 and rid2:1i1
one step time:0.0789334774017334
one step time:0.013193607330322266
0 rid:1i0 and rid1:1i0 and rid2:1i1
one step time:0.03300666809082031
one step time:0.012621641159057617
finished[-1]:{'request_id': '1', 'total_duration': 0.30654001235961914, 'total_token': 3} and rid:1i0
one step time:0.012506961822509766
one step time:0.012456655502319336
one step time:0.01247096061706543
one step time:0.012441635131835938
one step time:0.012483835220336914
one step time:0.012441396713256836
one step time:0.012406587600708008
one step time:0.012391805648803711
one step time:0.012454748153686523
one step time:0.012401103973388672
one step time:0.012411355972290039
one step time:0.012385368347167969
one step time:0.012436151504516602
one step time:0.012421607971191406
one step time:0.012405157089233398
one step time:0.012387752532958984
one step time:0.012412309646606445
one step time:0.012418270111083984
one step time:0.012423992156982422
one step time:0.012395620346069336
one step time:0.012389659881591797
one step time:0.012453556060791016
one step time:0.012441396713256836
one step time:0.012436628341674805
one step time:0.012385368347167969
one step time:0.012409687042236328
one step time:0.012445688247680664
one step time:0.012408256530761719
one step time:0.012379169464111328
one step time:0.012378215789794922
one step time:0.012425422668457031
one step time:0.012392759323120117
one step time:0.012439727783203125
one step time:0.012422561645507812
one step time:0.01260232925415039
one step time:0.012409687042236328
one step time:0.012398004531860352
one step time:0.012413978576660156
one step time:0.012378931045532227
one step time:0.012408971786499023
one step time:0.012408256530761719
one step time:0.012433290481567383
one step time:0.012451171875
one step time:0.012395858764648438
one step time:0.012399435043334961
one step time:0.012430667877197266
one step time:0.012384414672851562
one step time:0.012446880340576172
one step time:0.012406587600708008
one step time:0.012418031692504883
one step time:0.012474775314331055
one step time:0.012426137924194336
one step time:0.012415409088134766
one step time:0.012407064437866211
one step time:0.012404203414916992
one step time:0.012387990951538086
one step time:0.012367725372314453
one step time:0.01238250732421875
one step time:0.01243901252746582
one step time:0.012441635131835938
one step time:0.012455940246582031
one step time:0.012433052062988281
one step time:0.012410879135131836
one step time:0.012408733367919922
one step time:0.012414216995239258
one step time:0.01242685317993164
one step time:0.012420415878295898
one step time:0.01240229606628418
one step time:0.012448787689208984
one step time:0.012523889541625977
one step time:0.012403249740600586
one step time:0.012434244155883789
one step time:0.012395143508911133
one step time:0.012427091598510742
one step time:0.012400388717651367
one step time:0.012378454208374023
one step time:0.012412309646606445
one step time:0.012384891510009766
one step time:0.012449026107788086
one step time:0.01245880126953125
one step time:0.012403726577758789
one step time:0.012393951416015625
one step time:0.01243901252746582
one step time:0.012411832809448242
one step time:0.012424707412719727
one step time:0.012420654296875
one step time:0.012431144714355469
one step time:0.012458562850952148
one step time:0.012427568435668945
one step time:0.01240086555480957
one step time:0.012403488159179688
one step time:0.012411117553710938
one step time:0.012390375137329102
one step time:0.012378931045532227
one step time:0.012370109558105469
one step time:0.012428045272827148
one step time:0.012387990951538086
one step time:0.01242828369140625
one step time:0.012459516525268555
one step time:0.012449502944946289
one step time:0.012408971786499023
one step time:0.012397050857543945
one step time:0.012386083602905273
one step time:0.012402057647705078
one step time:0.012375354766845703
one step time:0.012417316436767578
one step time:0.01246190071105957
one step time:0.012446165084838867
one step time:0.012392520904541016
one step time:0.012408733367919922
one step time:0.01239776611328125
one step time:0.012391328811645508
one step time:0.012428522109985352
one step time:0.012544870376586914
one step time:0.01256251335144043
one step time:0.012414932250976562
one step time:0.012457847595214844
one step time:0.012402772903442383
one step time:0.012405872344970703
one step time:0.01241922378540039
one step time:0.012395620346069336
one step time:0.012387514114379883
one step time:0.012406349182128906
one step time:0.012417793273925781
one step time:0.01244211196899414
one step time:0.012468576431274414
one step time:0.012398958206176758
one step time:0.012405872344970703
one step time:0.012392997741699219
one step time:0.012454748153686523
one step time:0.012444496154785156
one step time:0.012395143508911133
one step time:0.012404441833496094
one step time:0.012417316436767578
one step time:0.012427568435668945
one step time:0.012408971786499023
one step time:0.012394905090332031
one step time:0.012411117553710938
one step time:0.012392282485961914
one step time:0.012385129928588867
one step time:0.012410163879394531
one step time:0.012404441833496094
one step time:0.012449264526367188
one step time:0.012428760528564453
one step time:0.012415885925292969
one step time:0.012412071228027344
one step time:0.012444257736206055
one step time:0.012421846389770508
one step time:0.012407302856445312
one step time:0.012398958206176758
one step time:0.012398004531860352
one step time:0.01244664192199707
one step time:0.012468576431274414
one step time:0.012433052062988281
one step time:0.012442827224731445
one step time:0.012441873550415039
one step time:0.012438297271728516
one step time:0.012636661529541016
one step time:0.01262807846069336
one step time:0.012676000595092773
one step time:0.01268768310546875
one step time:0.012395620346069336
one step time:0.012430667877197266
one step time:0.012428522109985352
one step time:0.01240992546081543
one step time:0.01241922378540039
one step time:0.012380361557006836
one step time:0.012424707412719727
one step time:0.012412071228027344
one step time:0.01242518424987793
one step time:0.012424230575561523
one step time:0.012431859970092773
one step time:0.012409448623657227
one step time:0.01238870620727539
one step time:0.012402534484863281
one step time:0.01240992546081543
one step time:0.012411355972290039
one step time:0.012454748153686523
one step time:0.01248025894165039
one step time:0.01243901252746582
one step time:0.012425422668457031
one step time:0.01238870620727539
one step time:0.012406110763549805
one step time:0.012407541275024414
one step time:0.012401580810546875
one step time:0.012461662292480469
one step time:0.012412786483764648
one step time:0.012444496154785156
one step time:0.012410402297973633
one step time:0.012461185455322266
one step time:0.012395620346069336
one step time:0.012396812438964844
one step time:0.012397050857543945
one step time:0.01240396499633789
one step time:0.012439727783203125
one step time:0.012367963790893555
one step time:0.012420415878295898
one step time:0.012445449829101562
one step time:0.012403249740600586
one step time:0.01238393783569336
one step time:0.012403488159179688
one step time:0.012394428253173828
one step time:0.012445449829101562
one step time:0.012405157089233398
one step time:0.012370586395263672
one step time:0.012434005737304688
one step time:0.012417793273925781
one step time:0.012431621551513672
one step time:0.01239323616027832
one step time:0.012424945831298828
one step time:0.012456178665161133
one step time:0.012396812438964844
one step time:0.01239466667175293
one step time:0.012408018112182617
one step time:0.01242828369140625
one step time:0.012465953826904297
one step time:0.012424707412719727
one step time:0.012416839599609375
one step time:0.01242375373840332
one step time:0.012403488159179688
one step time:0.012414932250976562
one step time:0.012375354766845703
one step time:0.012416362762451172
one step time:0.012406587600708008
one step time:0.012424230575561523
one step time:0.0124359130859375
one step time:0.01245260238647461
one step time:0.012451410293579102
one step time:0.012691259384155273
one step time:0.01263737678527832
one step time:0.012420892715454102
one step time:0.012399673461914062
one step time:0.012468814849853516
one step time:0.012453794479370117
one step time:0.012419462203979492
one step time:0.012411117553710938
one step time:0.01240086555480957
one step time:0.01240992546081543
one step time:0.012398481369018555
one step time:0.012404680252075195
one step time:0.012410640716552734
one step time:0.012671709060668945
one step time:0.012624740600585938
one step time:0.012412786483764648
one step time:0.012415409088134766
one step time:0.012441158294677734
one step time:0.012412309646606445
one step time:0.012437582015991211
one step time:0.012412786483764648
one step time:0.012488126754760742
one step time:0.012443065643310547
one step time:0.012614727020263672
0 rid:0i1 and rid1:0i0 and rid2:0i1
one step time:0.09635663032531738
one step time:0.012648582458496094
one step time:0.012729644775390625
one step time:0.012526273727416992
one step time:0.012478828430175781
one step time:0.012486934661865234
one step time:0.012426614761352539
one step time:0.012435436248779297
one step time:0.012455463409423828
one step time:0.01245737075805664
one step time:0.012445688247680664
one step time:0.012480020523071289
one step time:0.01240849494934082
one step time:0.012444496154785156
one step time:0.012503385543823242
one step time:0.01243281364440918
one step time:0.012418985366821289
one step time:0.012404918670654297
one step time:0.012405157089233398
one step time:0.012416601181030273
one step time:0.012412548065185547
one step time:0.01240229606628418
one step time:0.012422561645507812
one step time:0.012433052062988281
one step time:0.012401103973388672
one step time:0.012394428253173828
one step time:0.012431144714355469
one step time:0.012409687042236328
one step time:0.012445926666259766
one step time:0.012402534484863281
one step time:0.012441873550415039
one step time:0.012418985366821289
one step time:0.012444734573364258
one step time:0.012419462203979492
one step time:0.012438297271728516
one step time:0.012408256530761719
one step time:0.012429952621459961
one step time:0.01241445541381836
one step time:0.012393712997436523
one step time:0.012386798858642578
one step time:0.012438297271728516
one step time:0.012446880340576172
one step time:0.012447357177734375
one step time:0.01241445541381836
one step time:0.01243734359741211
one step time:0.012414693832397461
one step time:0.012434244155883789
one step time:0.012416839599609375
one step time:0.012410879135131836
one step time:0.012431621551513672
one step time:0.012417078018188477
one step time:0.012478351593017578
one step time:0.012691974639892578
one step time:0.01244974136352539
one step time:0.012440681457519531
one step time:0.012407302856445312
one step time:0.012407541275024414
one step time:0.012416601181030273
one step time:0.012439966201782227
one step time:0.012429952621459961
one step time:0.012417793273925781
one step time:0.012432336807250977
one step time:0.012449026107788086
one step time:0.012395381927490234
one step time:0.012398719787597656
one step time:0.01239323616027832
one step time:0.012434959411621094
one step time:0.012451410293579102
one step time:0.012454032897949219
one step time:0.012418270111083984
one step time:0.012397050857543945
one step time:0.012440204620361328
one step time:0.012392997741699219
one step time:0.012413978576660156
one step time:0.012415170669555664
one step time:0.01241159439086914
one step time:0.012432575225830078
one step time:0.012450933456420898
one step time:0.012474536895751953
one step time:0.012433528900146484
one step time:0.012420892715454102
one step time:0.012392044067382812
one step time:0.012398719787597656
one step time:0.012380361557006836
one step time:0.01245570182800293
one step time:0.012418985366821289
one step time:0.012429952621459961
one step time:0.012431859970092773
one step time:0.012438297271728516
INFO 10-28 15:43:19 metrics.py:363] Avg prompt throughput: 1107.7 tokens/s, Avg generation throughput: 74.6 tokens/s, Running: 1 reqs, Swapped: 0 reqs, Pending: 0 reqs, GPU KV cache usage: 0.3%, CPU KV cache usage: 0.0%.
INFO 10-28 15:43:19 metrics.py:379] Prefix cache hit rate: GPU: 19.48%, CPU: 0.00%
one step time:0.012400150299072266
one step time:0.012424945831298828
one step time:0.012404203414916992
one step time:0.012413978576660156
one step time:0.012445688247680664
one step time:0.012478113174438477
one step time:0.012434720993041992
one step time:0.012619733810424805
one step time:0.012446880340576172
one step time:0.012410163879394531
one step time:0.01239466667175293
one step time:0.012429475784301758
one step time:0.012434959411621094
one step time:0.01239466667175293
one step time:0.012433052062988281
one step time:0.012446165084838867
one step time:0.012446403503417969
one step time:0.01239633560180664
one step time:0.01241159439086914
one step time:0.012421131134033203
one step time:0.012413740158081055
one step time:0.012875080108642578
one step time:0.013178348541259766
one step time:0.012425661087036133
one step time:0.012434244155883789
one step time:0.012387514114379883
one step time:0.01241922378540039
one step time:0.012418985366821289
one step time:0.012436628341674805
one step time:0.012456655502319336
one step time:0.012439489364624023
one step time:0.012437105178833008
one step time:0.012407779693603516
one step time:0.012488603591918945
one step time:0.012439489364624023
one step time:0.012405872344970703
one step time:0.012433528900146484
one step time:0.012465238571166992
one step time:0.012426614761352539
one step time:0.012428522109985352
one step time:0.012454509735107422
one step time:0.012421607971191406
one step time:0.012410163879394531
one step time:0.012442350387573242
one step time:0.012419939041137695
one step time:0.012406349182128906
one step time:0.012441873550415039
one step time:0.012388944625854492
one step time:0.012428522109985352
one step time:0.012432336807250977
one step time:0.01242518424987793
one step time:0.01242971420288086
one step time:0.012437105178833008
one step time:0.012446165084838867
one step time:0.012395620346069336
one step time:0.01239633560180664
one step time:0.012412309646606445
one step time:0.012459993362426758
one step time:0.012438774108886719
one step time:0.012472391128540039
one step time:0.012391805648803711
one step time:0.012418508529663086
