args.agent_parallelism:False
without_agent start with agent
model:/home/xiaoxiang/data/Llama-3.1-8B
0 vllm/config.py scheduler_config.py __init__ max_num_batched_tokens: None
3 vllm/config.py scheduler_config.py __init__ max_num_batched_tokens: 512
INFO 10-28 15:28:30 config.py:1061] Chunked prefill is enabled with max_num_batched_tokens=512.
INFO 10-28 15:28:30 llm_engine.py:238] Initializing an LLM engine (v0.6.3.post2.dev36+g855e0e6f) with config: model='/home/xiaoxiang/data/Llama-3.1-8B', speculative_config=None, tokenizer='/home/xiaoxiang/data/Llama-3.1-8B', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, rope_scaling=None, rope_theta=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=131072, download_dir=None, load_format=LoadFormat.AUTO, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=False, kv_cache_dtype=auto, quantization_param_path=None, device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='outlines'), observability_config=ObservabilityConfig(otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=0, served_model_name=/home/xiaoxiang/data/Llama-3.1-8B, num_scheduler_steps=1, chunked_prefill_enabled=True multi_step_stream_outputs=True, enable_prefix_caching=True, use_async_output_proc=True, use_cached_outputs=False, mm_processor_kwargs=None)
INFO 10-28 15:28:33 model_runner.py:1055] Starting to load model /home/xiaoxiang/data/Llama-3.1-8B...
Loading safetensors checkpoint shards:   0% Completed | 0/4 [00:00<?, ?it/s]
Loading safetensors checkpoint shards:  25% Completed | 1/4 [00:01<00:04,  1.48s/it]
Loading safetensors checkpoint shards:  50% Completed | 2/4 [00:03<00:03,  1.56s/it]
Loading safetensors checkpoint shards:  75% Completed | 3/4 [00:04<00:01,  1.61s/it]
Loading safetensors checkpoint shards: 100% Completed | 4/4 [00:05<00:00,  1.18s/it]
Loading safetensors checkpoint shards: 100% Completed | 4/4 [00:05<00:00,  1.32s/it]

INFO 10-28 15:28:39 model_runner.py:1066] Loading model weights took 14.9888 GB
INFO 10-28 15:28:40 worker.py:260] Memory profiling results: total_gpu_memory=79.15GiB initial_memory_usage=15.50GiB peak_torch_memory=16.16GiB memory_usage_post_profile=15.53Gib non_torch_memory=0.54GiB kv_cache_size=54.53GiB gpu_memory_utilization=0.90
INFO 10-28 15:28:40 gpu_executor.py:122] # GPU blocks: 27921, # CPU blocks: 2048
INFO 10-28 15:28:40 gpu_executor.py:126] Maximum concurrency for 131072 tokens per request: 3.41x
INFO 10-28 15:28:42 model_runner.py:1394] Capturing the model for CUDA graphs. This may lead to unexpected consequences if the model is not static. To run the model in eager mode, set 'enforce_eager=True' or use '--enforce-eager' in the CLI.
INFO 10-28 15:28:42 model_runner.py:1398] CUDA graphs can take additional 1~3 GiB memory per GPU. If you are running out of memory, consider decreasing `gpu_memory_utilization` or enforcing eager mode. You can also reduce the `max_num_seqs` as needed to decrease memory usage.
INFO 10-28 15:28:55 model_runner.py:1522] Graph capturing finished in 13 secs.
/home/xiaoxiang/vllm/agent/agent.py:630: DeprecationWarning: The keyword arguments {'inputs'} are deprecated and will be removed in a future update. Please use the 'prompt' parameter instead.
  warm_up(engine)
/home/xiaoxiang/vllm/agent/agent.py:776: DeprecationWarning: The keyword arguments {'inputs'} are deprecated and will be removed in a future update. Please use the 'prompt' parameter instead.
  without_agent( args, prompts)
len(prompt):118
start warm up
finish warm up
without_agent max_token:256 
1 without agent len(reqs):4
0 rid:3 and rid1:3i0 and rid2:3i1
need_r1_react_num:1 and need_r2_react_num:0
0 rid:2 and rid1:2i0 and rid2:2i1
need_r1_react_num:1 and need_r2_react_num:0
0 rid:1 and rid1:1i0 and rid2:1i1
need_r1_react_num:1 and need_r2_react_num:0
0 rid:0 and rid1:0i0 and rid2:0i1
need_r1_react_num:1 and need_r2_react_num:0
one step time:0.040483951568603516
one step time:0.012686491012573242
one step time:0.012678146362304688
one step time:0.012556076049804688
one step time:0.012562274932861328
one step time:0.012608766555786133
one step time:0.012843847274780273
one step time:0.012541770935058594
one step time:0.012554645538330078
one step time:0.012561559677124023
one step time:0.012529134750366211
one step time:0.01254582405090332
one step time:0.012502431869506836
one step time:0.012516021728515625
one step time:0.012539148330688477
one step time:0.012604951858520508
one step time:0.01254415512084961
one step time:0.012591361999511719
one step time:0.012574195861816406
0 rid:1i1 and rid1:1i0 and rid2:1i1
one step time:0.03461050987243652
one step time:0.012565851211547852
one step time:0.012545585632324219
one step time:0.012502670288085938
one step time:0.012553930282592773
one step time:0.01255178451538086
one step time:0.012555599212646484
one step time:0.012545108795166016
one step time:0.012538671493530273
one step time:0.012502908706665039
one step time:0.012508153915405273
one step time:0.012504339218139648
one step time:0.012591361999511719
one step time:0.012570858001708984
one step time:0.012766838073730469
one step time:0.012679815292358398
one step time:0.012508630752563477
one step time:0.012548685073852539
one step time:0.012569189071655273
one step time:0.012520074844360352
one step time:0.012566804885864258
one step time:0.012515783309936523
one step time:0.012545347213745117
one step time:0.01251077651977539
one step time:0.012518167495727539
one step time:0.012583494186401367
one step time:0.01250767707824707
one step time:0.012568473815917969
one step time:0.012571573257446289
one step time:0.01256704330444336
one step time:0.01256418228149414
one step time:0.01256871223449707
one step time:0.012534856796264648
one step time:0.012557506561279297
one step time:0.012595653533935547
one step time:0.012498617172241211
one step time:0.01255655288696289
one step time:0.01251840591430664
one step time:0.012544393539428711
one step time:0.012464284896850586
one step time:0.012594938278198242
one step time:0.012580633163452148
one step time:0.012606382369995117
one step time:0.012525320053100586
one step time:0.012566089630126953
one step time:0.012550830841064453
one step time:0.012510299682617188
one step time:0.012590885162353516
one step time:0.012548208236694336
one step time:0.01257467269897461
one step time:0.01255655288696289
one step time:0.012546539306640625
one step time:0.012499094009399414
one step time:0.012520790100097656
one step time:0.012503623962402344
one step time:0.012531280517578125
one step time:0.012582778930664062
one step time:0.012542009353637695
one step time:0.012491941452026367
one step time:0.012530088424682617
one step time:0.012561798095703125
one step time:0.012559175491333008
one step time:0.01258993148803711
one step time:0.01256251335144043
one step time:0.012501001358032227
one step time:0.012549638748168945
one step time:0.012542963027954102
one step time:0.012503623962402344
one step time:0.012533187866210938
one step time:0.012527704238891602
one step time:0.01254582405090332
one step time:0.012560844421386719
one step time:0.012543201446533203
one step time:0.01250767707824707
one step time:0.012497663497924805
one step time:0.012517452239990234
one step time:0.01257634162902832
one step time:0.01257777214050293
one step time:0.012638092041015625
one step time:0.012691974639892578
one step time:0.012566328048706055
one step time:0.012560367584228516
one step time:0.0125579833984375
one step time:0.012548685073852539
one step time:0.012574195861816406
one step time:0.012549400329589844
one step time:0.01251673698425293
one step time:0.012542724609375
one step time:0.012603998184204102
one step time:0.012524843215942383
one step time:0.012500286102294922
one step time:0.012579679489135742
one step time:0.012568473815917969
one step time:0.012529850006103516
one step time:0.012570619583129883
one step time:0.01259160041809082
one step time:0.012539863586425781
one step time:0.012564659118652344
one step time:0.012631654739379883
one step time:0.012549161911010742
one step time:0.012547731399536133
one step time:0.01253819465637207
one step time:0.012550592422485352
one step time:0.01253962516784668
one step time:0.01254892349243164
one step time:0.012566328048706055
one step time:0.012567996978759766
one step time:0.01254582405090332
one step time:0.012578725814819336
one step time:0.012536048889160156
one step time:0.01254892349243164
one step time:0.012576580047607422
one step time:0.01257634162902832
one step time:0.012526750564575195
one step time:0.012547016143798828
one step time:0.012516975402832031
one step time:0.012509346008300781
one step time:0.01253962516784668
one step time:0.012557506561279297
one step time:0.012598514556884766
one step time:0.012576580047607422
one step time:0.01251363754272461
one step time:0.013073921203613281
one step time:0.012539386749267578
one step time:0.012564659118652344
one step time:0.012537002563476562
one step time:0.01257181167602539
one step time:0.01252293586730957
one step time:0.012546062469482422
one step time:0.012574195861816406
one step time:0.012581348419189453
one step time:0.012930870056152344
one step time:0.013358831405639648
one step time:0.012545585632324219
one step time:0.012618541717529297
one step time:0.012842893600463867
one step time:0.01265096664428711
one step time:0.012585878372192383
one step time:0.012587785720825195
one step time:0.012538433074951172
one step time:0.012599706649780273
one step time:0.012582778930664062
one step time:0.012531757354736328
one step time:0.012568950653076172
one step time:0.012586355209350586
one step time:0.012560129165649414
one step time:0.012574195861816406
one step time:0.01251363754272461
one step time:0.012523174285888672
one step time:0.012552499771118164
one step time:0.012578725814819336
one step time:0.012608051300048828
one step time:0.012550830841064453
one step time:0.012558698654174805
one step time:0.012529850006103516
one step time:0.012543916702270508
one step time:0.01258230209350586
one step time:0.012592554092407227
one step time:0.012622356414794922
one step time:0.012565135955810547
one step time:0.012567520141601562
one step time:0.012540817260742188
one step time:0.012610673904418945
one step time:0.012533426284790039
one step time:0.01253962516784668
one step time:0.012564897537231445
one step time:0.012557506561279297
one step time:0.012557744979858398
one step time:0.012561321258544922
one step time:0.012512922286987305
one step time:0.012552499771118164
one step time:0.01255941390991211
one step time:0.01258993148803711
one step time:0.012503623962402344
one step time:0.012565851211547852
one step time:0.012549400329589844
one step time:0.012574434280395508
one step time:0.012534141540527344
one step time:0.012570381164550781
one step time:0.012596607208251953
one step time:0.012553215026855469
one step time:0.01255035400390625
one step time:0.012554407119750977
one step time:0.012569665908813477
one step time:0.012570858001708984
one step time:0.012575387954711914
one step time:0.012550830841064453
one step time:0.012535572052001953
one step time:0.012601137161254883
one step time:0.01257181167602539
one step time:0.012592315673828125
one step time:0.012625694274902344
one step time:0.012595653533935547
one step time:0.012560844421386719
one step time:0.01260066032409668
one step time:0.01254415512084961
one step time:0.012509822845458984
one step time:0.012517452239990234
one step time:0.012522459030151367
one step time:0.012598991394042969
one step time:0.012570619583129883
one step time:0.012514829635620117
one step time:0.012481689453125
one step time:0.012540340423583984
one step time:0.012604951858520508
one step time:0.012531042098999023
one step time:0.012605667114257812
one step time:0.012622833251953125
one step time:0.012525320053100586
one step time:0.012535572052001953
one step time:0.012548446655273438
one step time:0.012566089630126953
one step time:0.012505054473876953
one step time:0.012597799301147461
one step time:0.012576103210449219
one step time:0.012569904327392578
one step time:0.0125579833984375
one step time:0.012507915496826172
one step time:0.012544393539428711
one step time:0.012554645538330078
one step time:0.012641668319702148
one step time:0.012560606002807617
one step time:0.012525558471679688
one step time:0.0125579833984375
one step time:0.01255655288696289
one step time:0.012550592422485352
one step time:0.012583494186401367
one step time:0.012618780136108398
one step time:0.012591123580932617
one step time:0.012527227401733398
one step time:0.012586832046508789
one step time:0.01259303092956543
one step time:0.012563705444335938
one step time:0.012479305267333984
one step time:0.012540578842163086
one step time:0.01258230209350586
one step time:0.012598037719726562
one step time:0.012526273727416992
0 rid:0i1 and rid1:0i0 and rid2:0i1
0 rid:2i1 and rid1:2i0 and rid2:2i1
0 rid:3i1 and rid1:3i0 and rid2:3i1
one step time:0.040651559829711914
one step time:0.04016828536987305
one step time:0.03258109092712402
one step time:0.01262354850769043
one step time:0.013641357421875
one step time:0.012573957443237305
one step time:0.01259756088256836
one step time:0.012564659118652344
one step time:0.012662887573242188
one step time:0.012614727020263672
one step time:0.012582778930664062
one step time:0.012569904327392578
one step time:0.01256108283996582
one step time:0.012619256973266602
one step time:0.01255345344543457
one step time:0.012609720230102539
one step time:0.012529373168945312
one step time:0.01254582405090332
one step time:0.012516260147094727
0 rid:1i0 and rid1:1i0 and rid2:1i1
one step time:0.03499794006347656
one step time:0.012811660766601562
one step time:0.01261591911315918
one step time:0.012593984603881836
one step time:0.012540817260742188
one step time:0.012555837631225586
one step time:0.012516021728515625
one step time:0.012508392333984375
one step time:0.012586832046508789
one step time:0.012565374374389648
one step time:0.012602567672729492
one step time:0.012529850006103516
one step time:0.012548208236694336
one step time:0.012524604797363281
one step time:0.012626886367797852
one step time:0.012792348861694336
one step time:0.012846231460571289
one step time:0.012574434280395508
one step time:0.01251983642578125
one step time:0.012583494186401367
one step time:0.012526750564575195
one step time:0.012681961059570312
one step time:0.012606143951416016
one step time:0.012561321258544922
one step time:0.012558460235595703
one step time:0.012571573257446289
one step time:0.012614727020263672
one step time:0.012568235397338867
one step time:0.01257014274597168
one step time:0.012636423110961914
one step time:0.012583255767822266
one step time:0.012540817260742188
one step time:0.012540340423583984
one step time:0.012679576873779297
one step time:0.012887001037597656
one step time:0.0126190185546875
one step time:0.012555837631225586
one step time:0.012580156326293945
one step time:0.012506484985351562
one step time:0.012515544891357422
one step time:0.012584209442138672
one step time:0.012548446655273438
one step time:0.012614250183105469
one step time:0.012598037719726562
one step time:0.012613534927368164
one step time:0.012561321258544922
one step time:0.012568950653076172
one step time:0.01251983642578125
one step time:0.012557268142700195
one step time:0.012603044509887695
one step time:0.01256418228149414
one step time:0.012622356414794922
one step time:0.012578964233398438
one step time:0.012552022933959961
one step time:0.01253509521484375
one step time:0.012574195861816406
one step time:0.012636899948120117
one step time:0.012603998184204102
one step time:0.012610197067260742
one step time:0.012574195861816406
one step time:0.01253819465637207
one step time:0.012544870376586914
one step time:0.012583255767822266
one step time:0.012578964233398438
one step time:0.012619495391845703
one step time:0.012593984603881836
one step time:0.012553691864013672
one step time:0.012569427490234375
one step time:0.012598276138305664
one step time:0.012605905532836914
one step time:0.012672185897827148
one step time:0.012578248977661133
one step time:0.012636899948120117
one step time:0.012596607208251953
one step time:0.01257181167602539
one step time:0.01259613037109375
one step time:0.012569665908813477
one step time:0.012582540512084961
one step time:0.012523889541625977
one step time:0.012564420700073242
one step time:0.012543916702270508
INFO 10-28 15:29:01 metrics.py:363] Avg prompt throughput: 441.3 tokens/s, Avg generation throughput: 288.3 tokens/s, Running: 4 reqs, Swapped: 0 reqs, Pending: 0 reqs, GPU KV cache usage: 0.4%, CPU KV cache usage: 0.0%.
INFO 10-28 15:29:01 metrics.py:379] Prefix cache hit rate: GPU: 9.02%, CPU: 0.00%
one step time:0.012564420700073242
one step time:0.012614011764526367
one step time:0.012570619583129883
one step time:0.01251673698425293
one step time:0.01256704330444336
one step time:0.012557029724121094
one step time:0.012583255767822266
one step time:0.012622833251953125
one step time:0.012655973434448242
one step time:0.01262664794921875
one step time:0.013028621673583984
one step time:0.01281428337097168
one step time:0.012571096420288086
one step time:0.012609720230102539
one step time:0.012620925903320312
one step time:0.012614727020263672
one step time:0.0125885009765625
one step time:0.012598991394042969
one step time:0.012610435485839844
one step time:0.012557029724121094
one step time:0.012614727020263672
one step time:0.012546062469482422
one step time:0.012595653533935547
one step time:0.012575387954711914
one step time:0.012590169906616211
one step time:0.012648582458496094
one step time:0.012606143951416016
one step time:0.012621402740478516
one step time:0.012603759765625
one step time:0.01261448860168457
one step time:0.012583255767822266
one step time:0.01259160041809082
one step time:0.012621164321899414
one step time:0.012612581253051758
one step time:0.012617111206054688
one step time:0.01257181167602539
one step time:0.012521982192993164
one step time:0.01259922981262207
one step time:0.012578487396240234
one step time:0.012626409530639648
one step time:0.012624502182006836
one step time:0.014061212539672852
one step time:0.012929439544677734
one step time:0.01262521743774414
